year,sample,serial,cbserial,hhwt,cluster,strata,gq,pernum,perwt,sex,age,ageorig,hcovany,educ,educd,empstat,empstatd,labforce,occ,ind,uhrswork,inctot,incwage,poverty
2023,2023 acs,899124,2023000032796,179,2023008991241,330236,households under 1970 definition,1,179,female,24,,with health insurance coverage,5+ years of college,master's degree,employed,at work,"yes, in the labor force",3010,7980,45,75000,69000,501
2023,2023 acs,517187,2023000225862,16,2023005171871,20018,households under 1970 definition,1,16,female,70,,with health insurance coverage,5+ years of college,master's degree,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,18000,0,422
2023,2023 acs,479211,2023000618673,21,2023004792111,1170017,households under 1970 definition,1,21,female,22,,with health insurance coverage,"grade 5, 6, 7, or 8",grade 8,not in labor force,not in labor force,"no, not in the labor force",4230,8660,26,23900,23900,154
2023,2023 acs,679897,2023001333003,60,2023006798971,50625,households under 1970 definition,2,57,female,56,,with health insurance coverage,grade 12,regular high school diploma,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,0,0,257
2023,2023 acs,1332854,2023000782847,43,2023013328541,251148,households under 1970 definition,1,42,female,50,,with health insurance coverage,5+ years of college,master's degree,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,402000,0,501
2023,2023 acs,476220,2023000533378,16,2023004762201,730017,households under 1970 definition,1,16,male,74,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",not in labor force,not in labor force,"no, not in the labor force",2722,7860,n/a,115000,0,501
2023,2023 acs,342074,2023000681934,46,2023003420741,990412,households under 1970 definition,4,46,male,5,,with health insurance coverage,n/a or no schooling,no schooling completed,n/a,n/a,n/a,0,0,n/a,9999999,n/a,330
2023,2023 acs,846438,2023000339810,142,2023008464381,140434,households under 1970 definition,3,127,male,74,,with health insurance coverage,grade 12,regular high school diploma,employed,at work,"yes, in the labor force",4720,4973,40,45600,25000,501
2023,2023 acs,1006567,2023000711336,30,2023010065671,120637,households under 1970 definition,2,27,female,65,,with health insurance coverage,5+ years of college,master's degree,employed,at work,"yes, in the labor force",1021,7380,40,100000,100000,501
2023,2023 acs,1350394,2023001003938,115,2023013503941,250348,households under 1970 definition,3,88,male,29,,no health insurance coverage,5+ years of college,master's degree,not in labor force,not in labor force,"no, not in the labor force",1305,7290,40,9000,9000,376
2023,2023 acs,938465,2023000756388,99,2023009384651,441236,households under 1970 definition,4,111,male,29,,no health insurance coverage,1 year of college,"1 or more years of college credit, no degree",not in labor force,not in labor force,"no, not in the labor force",3605,8191,12,1300,1300,380
2023,2023 acs,225156,2023001342208,94,2023002251561,1130206,households under 1970 definition,1,94,male,21,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",employed,at work,"yes, in the labor force",9645,5392,45,4500,4500,29
2023,2023 acs,744511,2023000728291,70,2023007445111,280027,households under 1970 definition,1,71,male,46,,with health insurance coverage,2 years of college,"associate's degree, type not specified",employed,at work,"yes, in the labor force",3870,9470,40,85000,85000,320
2023,2023 acs,801378,2023000151351,13,2023008013781,30030,households under 1970 definition,3,14,female,18,,with health insurance coverage,grade 12,regular high school diploma,employed,at work,"yes, in the labor force",4055,8680,20,10000,10000,203
2023,2023 acs,221419,2023001302440,101,2023002214191,374806,households under 1970 definition,1,100,female,57,,with health insurance coverage,5+ years of college,master's degree,not in labor force,not in labor force,"no, not in the labor force",440,7460,40,420000,400000,501
2023,2023 acs,556209,2023001360031,82,2023005562091,90019,households under 1970 definition,1,82,female,64,,with health insurance coverage,2 years of college,"associate's degree, type not specified",employed,at work,"yes, in the labor force",3255,8191,32,72000,72000,463
2023,2023 acs,237843,2023010079329,28,2023002378431,250108,other group quarters,1,28,female,62,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",unemployed,unemployed,"yes, in the labor force",9920,9920,n/a,25900,0,0
2023,2023 acs,665971,2023000634290,57,2023006659711,90225,households under 1970 definition,2,41,female,52,,with health insurance coverage,2 years of college,"associate's degree, type not specified",employed,at work,"yes, in the labor force",340,8290,40,205000,185000,501
2023,2023 acs,646137,2023001323015,32,2023006461371,100324,households under 1970 definition,4,30,male,10,,with health insurance coverage,nursery school to grade 4,grade 4,n/a,n/a,n/a,0,0,n/a,9999999,n/a,501
2023,2023 acs,645278,2023001271616,60,2023006452781,50324,households under 1970 definition,2,77,male,36,,with health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",2830,6570,70,5000,5000,42
2023,2023 acs,765827,2023000920489,55,2023007658271,130028,households under 1970 definition,2,116,female,71,,with health insurance coverage,2 years of college,"associate's degree, type not specified",not in labor force,not in labor force,"no, not in the labor force",3255,8191,n/a,27100,0,189
2023,2023 acs,877689,2023000469302,17,2023008776891,40035,households under 1970 definition,2,11,female,70,,with health insurance coverage,grade 12,"some college, but less than 1 year",not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,4100,0,38
2023,2023 acs,1250433,2023001053285,287,2023012504331,200147,households under 1970 definition,1,288,male,51,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",employed,at work,"yes, in the labor force",4700,4871,43,49000,49000,395
2023,2023 acs,1171564,2023000954631,138,2023011715641,301142,households under 1970 definition,1,138,female,87,,with health insurance coverage,1 year of college,"1 or more years of college credit, no degree",not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,4000,0,28
2023,2023 acs,1383304,2023001426345,17,2023013833041,251048,households under 1970 definition,2,16,female,70,,with health insurance coverage,4 years of college,bachelor's degree,not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,54800,0,501
2023,2023 acs,506858,2023001389523,172,2023005068581,311817,households under 1970 definition,3,166,female,7,,with health insurance coverage,nursery school to grade 4,grade 1,n/a,n/a,n/a,0,0,n/a,9999999,n/a,62
2023,2023 acs,1379169,2023001373645,59,2023013791691,232248,households under 1970 definition,2,55,female,27,,with health insurance coverage,4 years of college,bachelor's degree,employed,at work,"yes, in the labor force",4965,5392,32,8000,8000,501
2023,2023 acs,1277190,2023000070675,121,2023012771901,220048,households under 1970 definition,3,132,male,17,,with health insurance coverage,grade 12,"12th grade, no diploma",not in labor force,not in labor force,"no, not in the labor force",0,0,n/a,0,0,191
